135,Secretary,Secretary,0,0,,,0,0,Super,2008-04-19 15:52:00.000
136,Secretary/Acctt.,Secretary/Acctt.,0,0,,,0,0,Super,2008-04-19 15:52:00.000
137,Secy./President,Secy./President,0,0,,,0,0,Super,2008-04-19 15:52:00.000
138,Sports Convener,Sports Convener,0,0,,,0,0,Super,2008-04-19 15:52:00.000
139,Sr. Guide,Sr. Guide,0,0,,,0,0,Super,2008-04-19 15:52:00.000
140,Various positions,Various positions,0,0,,,0,0,Super,2008-04-19 15:52:00.000
141,Village Captain,Village Captain,0,0,,,0,0,Super,2008-04-19 15:52:00.000
142,Member Communications,Member Comm.,1,0,"","",0,0,super.admin,2012-05-26 23:06:51.260
143,Member Legal Affairs,Member,1,0,"","",0,0,super.admin,2009-05-30 21:36:00.167
144,Member Women’s Activities,Member,1,0,"","",0,0,super.admin,2009-05-30 21:36:25.813
145,Youth Facilitator,Youth Facilitator,0,0,,,0,0,q,2008-07-19 14:56:01.000
146,Quran Educator,Quran Educator,0,0,,,0,0,q,2008-08-12 21:02:37.000
147,Trainer,Trainer,0,0,,,0,0,aziz.nathani,2008-08-20 18:05:57.000
148,Coach,Coach,0,0,,,0,0,aziz.nathani,2008-08-20 18:56:00.000
149,Communicator,Communicator,0,0,,,0,0,aziz.nathani,2008-08-30 16:07:02.000
150,Advisor,Advisor,0,0,,,0,0,q,2008-09-08 21:30:19.000
151,Asstt District Comm,ADC,0,0,,,0,0,rafiq.ali,2008-09-10 18:25:23.000
152,Research Assistant,Research Assistant,0,0,,,0,0,aziz.nathani,2008-09-11 23:31:44.000
153,Member NTF,Member NTF,0,0,,,0,0,aziz.nathani,2008-09-15 19:20:56.000
154,Hon. Teacher,Hon. Teacher,0,0,,,0,0,rafiq.ali,2008-09-20 13:01:45.000
155,Assistant Petrol Leader,Asstt. Petrol Leader,0,0,,,0,0,aziz.nathani,2008-09-22 19:55:35.000
156,Legal Advisor,Legal Advisor,0,0,,,0,0,aziz.nathani,2008-10-16 23:28:22.000
157,Reasearch Assistant,"",0,0,,,0,0,amin.bhojani,2008-10-29 18:17:24.000
158,Executive Member,E Mem,0,0,,,0,0,Salman.Alwani,2008-12-03 20:27:57.000
159,Mem./Hon. Secy,Mem./Hon. Secy,0,0,,,0,0,q,2009-04-19 14:57:53.000
160,Finance Coordinator,Fin. Coor.,0,0,,,0,0,q,2009-04-19 19:45:17.000
161,Govt. Service - Private Secy,Govt. Service - Priv,0,0,,,0,0,q,2009-04-19 21:22:35.000
162,Qazi,Qazi,0,0,,,0,0,aziz.nathani,2009-04-26 14:45:26.000
163,Ginan Instructor,Ginan Instructor,0,0,,,0,0,super.admin,2009-04-26 17:04:51.000
164,Area Member,Area Mem.,0,0,,,0,0,super.admin,2009-04-26 17:51:22.000
165,Audit Trainee,Audit Trainee,0,0,,,0,0,super.admin,2009-04-27 20:54:41.000
